Country Name,Country Code,Year,Value
China,CHN,1960.0,
United States,USA,1960.0,
China,CHN,1961.0,
United States,USA,1961.0,
China,CHN,1962.0,
United States,USA,1962.0,
China,CHN,1963.0,
United States,USA,1963.0,
China,CHN,1964.0,
United States,USA,1964.0,
China,CHN,1965.0,
United States,USA,1965.0,
China,CHN,1966.0,
United States,USA,1966.0,
China,CHN,1967.0,
United States,USA,1967.0,
China,CHN,1968.0,
United States,USA,1968.0,
China,CHN,1969.0,
United States,USA,1969.0,
China,CHN,1970.0,
United States,USA,1970.0,
China,CHN,1971.0,
United States,USA,1971.0,
China,CHN,1972.0,
United States,USA,1972.0,
China,CHN,1973.0,
United States,USA,1973.0,
China,CHN,1974.0,
United States,USA,1974.0,
China,CHN,1975.0,
United States,USA,1975.0,
China,CHN,1976.0,
United States,USA,1976.0,
China,CHN,1977.0,
United States,USA,1977.0,
China,CHN,1978.0,
United States,USA,1978.0,
China,CHN,1979.0,
United States,USA,1979.0,
China,CHN,1980.0,
United States,USA,1980.0,
China,CHN,1981.0,
United States,USA,1981.0,
China,CHN,1982.0,
United States,USA,1982.0,
China,CHN,1983.0,
United States,USA,1983.0,
China,CHN,1984.0,
United States,USA,1984.0,
China,CHN,1985.0,
United States,USA,1985.0,
China,CHN,1986.0,
United States,USA,1986.0,
China,CHN,1987.0,
United States,USA,1987.0,
China,CHN,1988.0,
United States,USA,1988.0,
China,CHN,1989.0,
United States,USA,1989.0,
China,CHN,1990.0,
United States,USA,1990.0,
China,CHN,1991.0,76.84
United States,USA,1991.0,60.58
China,CHN,1992.0,76.38
United States,USA,1992.0,60.358
China,CHN,1993.0,75.663
United States,USA,1993.0,60.64
China,CHN,1994.0,75.027
United States,USA,1994.0,61.469
China,CHN,1995.0,74.47
United States,USA,1995.0,61.897
China,CHN,1996.0,73.891
United States,USA,1996.0,62.189
China,CHN,1997.0,73.315
United States,USA,1997.0,62.78
China,CHN,1998.0,72.807
United States,USA,1998.0,63.033
China,CHN,1999.0,72.293
United States,USA,1999.0,63.27
China,CHN,2000.0,71.771
United States,USA,2000.0,63.506
China,CHN,2001.0,71.07
United States,USA,2001.0,62.746
China,CHN,2002.0,70.444
United States,USA,2002.0,61.793
China,CHN,2003.0,69.891
United States,USA,2003.0,61.314
China,CHN,2004.0,69.652
United States,USA,2004.0,61.407
China,CHN,2005.0,69.323
United States,USA,2005.0,61.742
China,CHN,2006.0,69.078
United States,USA,2006.0,62.162
China,CHN,2007.0,68.824
United States,USA,2007.0,61.99
China,CHN,2008.0,68.337
United States,USA,2008.0,61.226
China,CHN,2009.0,67.929
United States,USA,2009.0,58.412
China,CHN,2010.0,67.746
United States,USA,2010.0,57.592
China,CHN,2011.0,67.636
United States,USA,2011.0,57.574
China,CHN,2012.0,67.185
United States,USA,2012.0,58.017
China,CHN,2013.0,66.751
United States,USA,2013.0,58.108
China,CHN,2014.0,66.425
United States,USA,2014.0,58.595
China,CHN,2015.0,66.078
United States,USA,2015.0,58.979
China,CHN,2016.0,65.739
United States,USA,2016.0,59.391
China,CHN,2017.0,65.295
United States,USA,2017.0,59.824
China,CHN,2018.0,64.887
United States,USA,2018.0,60.153
China,CHN,2019.0,64.307
United States,USA,2019.0,60.542
China,CHN,2020.0,62.678
United States,USA,2020.0,56.598
China,CHN,2021.0,64.056
United States,USA,2021.0,58.211
China,CHN,2022.0,62.523
United States,USA,2022.0,59.539
China,CHN,2023.0,62.756
United States,USA,2023.0,59.821
China,CHN,2024.0,62.404
United States,USA,2024.0,59.399
